time;period
1.571;1.2006
2.771;1.2004
3.971;1.2000
5.171;1.1997
6.371;1.1996
7.570;1.1996
8.770;1.1994
9.969;1.1992
11.168;1.1989
12.367;1.1988
13.565;1.1988
14.764;1.1986
15.962;1.1984
17.161;1.1982
18.359;1.1981
19.557;1.1980
20.754;1.1978
21.952;1.1976
23.150;1.1975
24.347;1.1974
25.544;1.1973
26.741;1.1971
27.938;1.1970
29.135;1.1968
30.332;1.1967
31.529;1.1966
32.725;1.1965
33.921;1.1964
35.118;1.1962
36.314;1.1961
37.510;1.1960
38.706;1.1959
39.902;1.1958
41.097;1.1957
42.293;1.1956
43.488;1.1955
44.684;1.1954
45.879;1.1953
47.074;1.1951
48.269;1.1951
49.464;1.1950
50.659;1.1949
51.854;1.1947
53.048;1.1947
54.243;1.1946
55.437;1.1945
56.632;1.1944
57.826;1.1943
59.020;1.1942
60.214;1.1941
61.408;1.1940
62.602;1.1939
63.796;1.1938
64.990;1.1937
66.183;1.1936
67.377;1.1935
68.570;1.1934
69.764;1.1934
70.957;1.1933
72.150;1.1932
73.343;1.1931
74.536;1.1930
75.729;1.1930
76.922;1.1929
78.115;1.1928
79.308;1.1927
80.500;1.1927
81.693;1.1924
82.885;1.1926
84.078;1.1924
85.270;1.1923
86.462;1.1923
87.654;1.1922
88.847;1.1921
90.039;1.1921
91.231;1.1920
92.423;1.1919
93.614;1.1918
94.806;1.1918
95.998;1.1917
97.190;1.1917
98.381;1.1916
99.573;1.1915
100.764;1.1915
101.956;1.1914
103.147;1.1913
104.338;1.1913
